ROW_NUM,CTPRVN_NM,SIGUNGU_NM,EMD_NM,LVSTCK_NM,FARM_CO
1,경상남도,함양군,병곡면,소,30
2,강원도,평창군,봉평면,소,37
3,전라북도,장수군,장수읍,소,129
4,경상북도,영주시,상줄동,소,27
5,경상남도,거창군,거창읍,소,155
6,경상남도,양산시,동면,소,8
7,경상남도,밀양시,청도면,소,97
8,제주특별자치도,제주시,구좌읍,소,84
9,충청남도,부여군,은산면,염소,14
10,경상남도,거제시,거제면,닭,42
11,경상남도,사천시,서포면,소,119
12,경상남도,고성군,개천면,소,60
13,충청남도,서산시,인지면,소,96
14,충청남도,예산군,응봉면,소,75
15,전라북도,부안군,변산면,소,41
16,경기도,파주시,적성면,소,103
17,경상북도,경주시,안강읍,염소,10
18,경상남도,합천군,초계면,닭,43
19,전라북도,임실군,성수면,닭,32
20,전라남도,순천시,외서면,닭,43
21,경상남도,밀양시,단장면,소,70
22,경기도,양평군,단월면,소,67
23,전라북도,정읍시,옹동면,소,104
24,경상북도,의성군,춘산면,소,10
25,경상북도,구미시,도개면,소,138
26,경상북도,울진군,북면,닭,54
27,충청남도,홍성군,장곡면,염소,18
28,충청남도,서산시,대산읍,닭,38
29,경상남도,남해군,창선면,닭,37
30,경상북도,포항시 북구,송라면,닭,10
31,충청북도,음성군,생극면,토끼,1
32,충청남도,부여군,석성면,닭,20
33,전라북도,무주군,안성면,염소,21
34,충청남도,부여군,부여읍,염소,5
35,충청북도,단양군,대강면,칠면조,1
36,경기도,광주시,남종면,닭,4
37,세종특별자치시,,전동면,소,112
38,전라남도,함평군,나산면,닭,48
39,충청북도,영동군,황간면,꿀벌,7
40,전라남도,광양시,진월면,거위,1
41,전라남도,보성군,복내면,소,100
42,전라북도,남원시,금지면,염소,12
43,전라북도,정읍시,태인면,소,104
44,강원도,횡성군,청일면,소,91
45,인천광역시,강화군,삼산면,소,6
46,경기도,안산시 단원구,대부남동,소,6
47,경기도,고양시 덕양구,원당동,소,3
48,인천광역시,강화군,화도면,소,20
49,강원도,화천군,간동면,소,37
50,전라남도,보성군,득량면,소,147
51,경상북도,경산시,남천면,소,111
52,경상남도,함안군,산인면,소,47
53,광주광역시,광산구,송학동,소,19
54,경기도,여주시,연라동,소,3
55,광주광역시,광산구,산수동,소,1
56,경기도,여주시,우만동,소,4
57,광주광역시,광산구,산정동,소,1
58,울산광역시,울주군,범서읍,소,108
59,경기도,안산시 상록구,수암동,소,2
60,경기도,하남시,감북동,소,2
61,경기도,파주시,교하동,소,4
62,경기도,하남시,상사창동,소,1
63,광주광역시,광산구,등임동,소,6
64,광주광역시,광산구,고룡동,소,4
65,강원도,강릉시,옥계면,소,20
66,경기도,이천시,고담동,소,2
67,대구광역시,동구,신무동,소,5
68,경기도,화성시,배양동,소,2
69,경기도,화성시,반정동,소,3
70,강원도,동해시,괴란동,소,14
71,대구광역시,수성구,삼덕동,소,1
72,강원도,강릉시,성산면,소,38
73,강원도,홍천군,홍천읍,소,112
74,강원도,삼척시,근덕면,소,119
75,강원도,홍천군,두촌면,소,26
76,대구광역시,북구,동변동,소,8
77,충청북도,청주시 서원구,남이면,소,65
78,강원도,강릉시,왕산면,소,9
79,강원도,태백시,적각동,소,3
80,충청북도,청주시 상당구,가덕면,소,96
81,충청북도,청주시 청원구,내수읍,소,97
82,충청북도,청주시 청원구,정상동,소,2
83,충청북도,청주시 흥덕구,신촌동,소,6
84,충청북도,충주시,달천동,소,9
85,강원도,속초시,장사동,소,1
86,충청남도,천안시 동남구,성남면,소,36
87,충청북도,청주시 흥덕구,신대동,소,1
88,충청북도,청주시 흥덕구,원평동,소,8
89,충청북도,충주시,호암동,소,1
90,충청북도,진천군,초평면,소,86
91,충청남도,태안군,고남면,소,15
92,충청북도,제천시,신월동,소,2
93,충청북도,충주시,신니면,소,87
94,전라북도,김제시,신풍동,소,2
95,충청남도,논산시,상월면,소,46
96,전라북도,정읍시,교암동,소,13
97,전라북도,고창군,심원면,소,32
98,충청남도,아산시,배미동,소,4
99,경상북도,경주시,황용동,소,4
100,충청남도,논산시,연무읍,소,93
101,충청남도,논산시,채운면,소,22
102,충청남도,공주시,계룡면,소,173
103,전라남도,곡성군,겸면,소,63
104,충청남도,논산시,연산면,소,66
105,충청남도,공주시,석장리동,소,6
106,충청남도,공주시,소학동,소,8
107,충청남도,서산시,운산면,소,187
108,충청북도,음성군,대소면,소,30
109,충청남도,서천군,문산면,소,50
110,전라남도,구례군,구례읍,소,76
111,충청남도,당진시,원당동,소,2
112,충청남도,당진시,시곡동,소,7
113,충청남도,서산시,장동,소,3
114,전라북도,익산시,황등면,소,61
115,전라북도,익산시,웅포면,소,58
116,전라북도,군산시,구암동,소,2
117,전라북도,전주시 덕진구,도덕동,소,1
118,충청북도,음성군,맹동면,소,14
119,전라남도,광양시,황금동,소,2
120,전라남도,순천시,황전면,소,195
121,전라북도,임실군,청웅면,소,43
122,전라남도,순천시,송광면,소,18
123,경상북도,경주시,동천동,소,4
124,전라남도,영광군,백수읍,소,137
125,경상북도,문경시,산북면,소,89
126,전라남도,해남군,현산면,소,180
127,전라남도,신안군,임자면,소,28
128,경상북도,영양군,입암면,소,20
129,경상북도,김천시,백옥동,소,19
130,전라북도,김제시,성덕면,소,42
131,경상북도,경산시,와촌면,소,112
132,경상북도,성주군,대가면,소,24
133,경상북도,경산시,임당동,소,1
134,경상북도,구미시,고아읍,소,253
135,경상북도,청도군,화양읍,소,111
136,경상북도,구미시,옥성면,소,114
137,경상북도,김천시,감천면,소,42
138,경상북도,구미시,지산동,소,7
139,경상북도,의성군,안사면,소,9
140,경상북도,상주시,연원동,소,9
141,경상북도,안동시,이천동,소,25
142,경상북도,칠곡군,왜관읍,소,16
143,경상북도,상주시,화산동,소,12
144,경상북도,고령군,쌍림면,소,114
145,경상북도,상주시,내서면,소,75
146,경상남도,의령군,봉수면,소,89
147,경상북도,봉화군,소천면,소,32
148,제주특별자치도,서귀포시,도순동,소,3
