ROW_NUM,FARM_DISEASE_NM,CTPRVN_NM,SIGUNGU_NM,EMD_NM,LVSTCK_NM,FARM_CO
1,구제역,경상남도,산청군,단성면,돼지,1633264
2,고병원성조류인플루엔자,경상남도,거창군,주상면,닭,12286077
3,고병원성조류인플루엔자,경상남도,남해군,창선면,닭,9519
4,고병원성조류인플루엔자,충청남도,서산시,팔봉면,닭,2805441
5,고병원성조류인플루엔자,충청남도,서산시,팔봉면,거위,249
6,고병원성조류인플루엔자,경상남도,거제시,거제면,닭,69094
7,고병원성조류인플루엔자,충청남도,공주시,이인면,닭,1624370
8,고병원성조류인플루엔자,경상북도,칠곡군,지천면,닭,19283802
9,고병원성조류인플루엔자,경상북도,포항시 북구,기북면,닭,5303
10,구제역,경상북도,칠곡군,동명면,염소,2992
11,고병원성조류인플루엔자,경상남도,양산시,주진동,닭,15149
12,고병원성조류인플루엔자,경상남도,합천군,초계면,닭,6039503
13,고병원성조류인플루엔자,경상남도,합천군,용주면,닭,12276545
14,,충청북도,단양군,단성면,꿀벌,2939
15,고병원성조류인플루엔자,경상남도,진주시,미천면,닭,27622
16,고병원성조류인플루엔자,충청북도,제천시,금성면,닭,2209700
17,고병원성조류인플루엔자,경상북도,의성군,봉양면,닭,10756356
18,,충청남도,부여군,임천면,토끼,21
19,고병원성조류인플루엔자,경상남도,진주시,대곡면,닭,32913
20,고병원성조류인플루엔자,경상북도,군위군,군위읍,닭,2113389
21,고병원성조류인플루엔자,충청남도,홍성군,홍성읍,칠면조,154
22,고병원성조류인플루엔자,경상남도,산청군,금서면,닭,23140
23,고병원성조류인플루엔자,전라북도,군산시,개정면,닭,42221
24,고병원성조류인플루엔자,경기도,안산시 단원구,대부북동,꿩,30055
25,고병원성조류인플루엔자,경상남도,양산시,주진동,거위,4
26,고병원성조류인플루엔자,강원도,영월군,남면,닭,274575
27,,전라남도,무안군,현경면,토끼,502
28,고병원성조류인플루엔자,대전광역시,유성구,학하동,닭,78506
29,고병원성조류인플루엔자,충청북도,제천시,봉양읍,닭,1897813
30,고병원성조류인플루엔자,경기도,가평군,조종면,닭,36285
31,고병원성조류인플루엔자,경상남도,거창군,거창읍,닭,12546631
32,고병원성조류인플루엔자,경상남도,거제시,일운면,닭,28238
33,고병원성조류인플루엔자,전라북도,고창군,무장면,닭,14963044
34,고병원성조류인플루엔자,전라남도,무안군,몽탄면,닭,1567280
35,고병원성조류인플루엔자,전라남도,신안군,안좌면,닭,25493
36,고병원성조류인플루엔자,경상북도,경산시,하양읍,닭,15789
37,고병원성조류인플루엔자,강원도,삼척시,조비동,닭,792
38,고병원성조류인플루엔자,경기도,포천시,일동면,닭,21307000
39,구제역,강원도,횡성군,우천면,돼지,329918
40,고병원성조류인플루엔자,경상북도,상주시,낙동면,닭,15816976
41,구제역,전라남도,나주시,다시면,염소,351
42,고병원성조류인플루엔자,경상남도,함안군,대산면,닭,1850730
43,고병원성조류인플루엔자,전라남도,고흥군,동강면,닭,253007
44,고병원성조류인플루엔자,전라남도,보성군,보성읍,닭,5454335
45,고병원성조류인플루엔자,경상남도,산청군,신안면,닭,14151521
46,고병원성조류인플루엔자,충청북도,영동군,영동읍,닭,343504
47,고병원성조류인플루엔자,충청북도,영동군,영동읍,오리,88858
48,고병원성조류인플루엔자,충청남도,홍성군,서부면,닭,8157338
