ROW_NUM,PSTN_DSNF_PLC_NM,ADDR,OPER_HR,PIC_TELNO,LOT,LAT
1,진천읍 거점소독소,충청북도 진천군 진천읍 성석리 615-11,00:00 ~ 24:00,043-539-3593,127.45361,36.86147
2,삼리거점소독시설,경기도 광주시 곤지암읍 삼리 0681-0000,06:00 ~ 22:00,031-760-2879,127.32987,37.35204
3,덕산읍 거점소독소,충청북도 진천군 덕산읍 용몽리 0339-0032,00:00 ~ 24:00,043-539-3593,127.51462,36.91497
4,대치초소,충청남도 청양군 대치면 대치리 0006-0002,04:00 ~ 20:00,041-940-2975,126.88552,36.43631
5,음성거점소독소,충청북도 음성군 음성읍 신천리 0969-0000,00:00 ~ 24:00,043-871-3712,127.66238,36.92752
6,달성군 거점소독시설,대구광역시 달성군 현풍읍 대리 0186-0000,08:00 ~ 17:00,054-668-3862,128.4396258,35.6675574
7,해남군 거점소독시설,전라남도 해남군 해남읍 남외리 0550-0001,00:00 ~ 24:00,061-531-3924,126.588,34.56551
8,제천시 거점소독소,충청북도 제천시 봉양읍 장평리 0236-0011,00:00 ~ 00:00,043-641-6872,128.15223,37.13401
9,모가면 거점 및 이동통제초소,경기도 이천시 모가면 원두리 0256-0002,04:00 ~ 20:00,031-644-2645,127.47777,37.18091
10,포천2초소,경기도 포천시 창수면 주원리 산0217-0004,07:00 ~ 15:00,031-538-3874,127.15651,38.01676
11,포천4초소,경기도 포천시 신북면 만세교리 264-1,00:00 ~ 24:00,031-538-3874,127.24056,37.95486
12,포천3초소,경기도 포천시 영북면 자일리 0964-0005,07:00 ~ 15:00,031-538-3874,127.27225,38.12029
13,포천1초소,경기도 포천시 영중면 영송리 0619-0000,00:00 ~ 24:00,031-538-3874,127.20574,37.99759
14,궁평 거점소독시설,충청남도 예산군 예산읍 궁평리 0055-0007,04:00 ~ 20:00,041-339-7834,126.859,36.74027
15,양동 거점소독시설,경기도 양평군 양동면 단석리 0133-0001,05:00 ~ 21:00,031-770-2334,127.7483,37.40014
16,양평군 거점세척소독시설(평일),경기도 양평군 옥천면 옥천리 0006-0000,05:00 ~ 13:00,061-430-2156,127.48102,37.51871
17,개군 거점소독시설,경기도 양평군 개군면 공세리 0381-0025,13:00 ~ 21:00,031-770-2334,127.5283,37.46347
18,양산시 축산종합방역소,경상남도 양산시 하북면 용연리 1121-0026,04:00 ~ 20:00,055-392-5393,129.06651,35.43221
19,군위군 거점소독시설,대구광역시 군위군 군위읍 금구리 0800-0000,00:00 ~ 00:00,053-380-7935,128.56469,36.20725
20,안동시 거점소독시설,경상북도 안동시 풍산읍 노리 0215-0001,00:00 ~ 24:00,054-840-5494,128.63187,36.59066
21,울진군 거점소독시설,경상북도 울진군 매화면 매화리 0408-0000,06:00 ~ 22:00,054-789-6793,129.38357,36.9281
22,홍천군 거점소독시설,강원도 홍천군 홍천읍 하오안리 0204-0000,00:00 ~ 24:00,033-430-2731,127.84874,37.66803
23,거점소독시설,충청북도 증평군 증평읍 연탄리 0289-0002,00:00 ~ 24:00,043-835-3462,127.56875,36.78398
24,광천 운용리 거점세척소독시설,충청남도 홍성군 광천읍 운용리 0570-0003,02:00 ~ 18:00,041-630-1397,126.66142,36.52628
25,함양군 축산종합방역소,경상남도 함양군 함양읍 용평리 0915-0202,00:00 ~ 24:00,055-960-8142,127.74502,35.51169
26,창원시 축산종합방역소(진북면),경상남도 창원시 마산합포구 진북면 추곡리 0710-0000,06:00 ~ 20:00,055-225-5681,128.47215,35.16188
27,천안시 병천 거점소독시설,충청남도 천안시 동남구 병천면 탑원리 380-12,05:00 ~ 17:00,041-521-5729,127.30187,36.7534
28,속초거점소독시설,강원특별자치도 속초시 대포동 0302-0020,09:00 ~ 18:00,033-639-2417,128.60523,38.17088
29,부안군(행안),전라북도 부안군 행안면 진동리 0970-0001,00:00 ~ 24:00,063-580-4252,126.72602,35.7007
30,천북거점소독소,충청남도 보령시 천북면 신죽리 0214-0002,00:00 ~ 00:00,041-930-7902,126.59355,36.49445
31,초평면 거점소독소,충청북도 진천군 초평면 용정리 0213-0001,00:00 ~ 24:00,043-539-3593,127.53275,36.83291
32,이원면 사창리 거점소독소,충청남도 태안군 이원면 사창리 0230-0008,00:00 ~ 24:00,041-670-2821,126.27992,36.85263
33,이인초봉초소,충청남도 공주시 이인면 초봉리 0039-0018,06:00 ~ 14:00,041-840-3484,127.0743,36.37956
34,목천동 거점소독시설(1거점 농수산물도매시장),전라북도 익산시 목천동 0916-0004,00:00 ~ 24:00,063-859-7241,126.91772,35.91731
35,동수동거점소독시설,전라남도 나주시 동수동 0144-0021,00:00 ~ 24:00,061-339-7612,126.68242,34.97794
36,영동거점소독소,충청북도 영동군 용산면 율리 0758-0000,00:00 ~ 24:00,043-740-3442,127.80327,36.22253
37,남해읍 거점소독시설,경상남도 남해군 남해읍 평리 1187-0002,00:00 ~ 24:00,-,127.89603,34.83048
38,봉화군거점소독시설,경상북도 봉화군 봉화읍 적덕리 1148-0,00:00 ~ 24:00,054-679-6867,128.68845,36.87991
39,영주시 거점소독시설,경상북도 영주시 장수면 갈산리 0035-0000,00:00 ~ 24:00,0546397355,128.57035,36.77506
40,단양군 거점소독소,충청북도 단양군 영춘면 하리 0491-0000,00:00 ~ 00:00,043-420-2744,128.4841,37.06463
41,사리거점세척소독시설,충청북도 괴산군 사리면 방축리 0019-0002,00:00 ~ 24:00,043-833-3235,127.65647,36.81226
