ROW_NUM,CTPRVN_NM,SIGUNGU_NM,EMD_NM,LVSTCK_NM,FARM_CO,FARM_LOCPLC,k,g,f
1,경상남도,함양군,병곡면,소,30,경상남도 함양군 병곡면,"('35.5284715455675', '127.68213141464')",35.5284715455675,127.68213141464
2,강원도,평창군,봉평면,소,37,강원도 평창군 봉평면,"('37.6161929793163', '128.379492494281')",37.6161929793163,128.379492494281
3,전라북도,장수군,장수읍,소,129,전라북도 장수군 장수읍,"('35.6542060803554', '127.519651585548')",35.6542060803554,127.519651585548
4,경상북도,영주시,상줄동,소,27,경상북도 영주시 상줄동,"('36.8305743996276', '128.586781792571')",36.8305743996276,128.586781792571
5,경상남도,거창군,거창읍,소,155,경상남도 거창군 거창읍,"('35.688010089553', '127.903914924402')",35.688010089553,127.903914924402
6,경상남도,양산시,동면,소,8,경상남도 양산시 동면,"('35.323519849459', '129.061860910265')",35.323519849459,129.061860910265
7,경상남도,밀양시,청도면,소,97,경상남도 밀양시 청도면,"('35.5489110834165', '128.62444988427')",35.5489110834165,128.62444988427
8,제주특별자치도,제주시,구좌읍,소,84,제주특별자치도 제주시 구좌읍,"('33.5225267070201', '126.852053599141')",33.5225267070201,126.852053599141
9,충청남도,부여군,은산면,염소,14,충청남도 부여군 은산면,"('36.3104262905269', '126.854215108774')",36.3104262905269,126.854215108774
10,경상남도,거제시,거제면,닭,42,경상남도 거제시 거제면,"('34.8510437105885', '128.590427875294')",34.8510437105885,128.590427875294
11,경상남도,사천시,서포면,소,119,경상남도 사천시 서포면,"('35.0061075610376', '127.97802749124')",35.0061075610376,127.97802749124
12,경상남도,고성군,개천면,소,60,경상남도 고성군 개천면,"('35.0987319004093', '128.258983112372')",35.0987319004093,128.258983112372
13,충청남도,서산시,인지면,소,96,충청남도 서산시 인지면,"('36.7531440057616', '126.425377819565')",36.7531440057616,126.425377819565
14,충청남도,예산군,응봉면,소,75,충청남도 예산군 응봉면,"('36.6586392492339', '126.761198301312')",36.6586392492339,126.761198301312
15,전라북도,부안군,변산면,소,41,전라북도 부안군 변산면,"('35.6634889289634', '126.528462533107')",35.6634889289634,126.528462533107
16,경기도,파주시,적성면,소,103,경기도 파주시 적성면,"('37.9543767524196', '126.917635009286')",37.9543767524196,126.917635009286
17,경상북도,경주시,안강읍,염소,10,경상북도 경주시 안강읍,"('35.9902073180478', '129.227014022472')",35.9902073180478,129.227014022472
18,경상남도,합천군,초계면,닭,43,경상남도 합천군 초계면,"('35.5599748245576', '128.265291765705')",35.5599748245576,128.265291765705
19,전라북도,임실군,성수면,닭,32,전라북도 임실군 성수면,"('35.6298865194604', '127.333125544753')",35.6298865194604,127.333125544753
20,전라남도,순천시,외서면,닭,43,전라남도 순천시 외서면,"('34.9137153051339', '127.277400802741')",34.9137153051339,127.277400802741
