ROW_NUM,CTPRVN_NM,SIGUNGU_NM,EMD_NM,LVSTCK_NM,FARM_CO,FARM_LOCPLC
1,경상남도,함양군,병곡면,소,30,경상남도 함양군 병곡면
2,강원도,평창군,봉평면,소,37,강원도 평창군 봉평면
3,전라북도,장수군,장수읍,소,129,전라북도 장수군 장수읍
4,경상북도,영주시,상줄동,소,27,경상북도 영주시 상줄동
5,경상남도,거창군,거창읍,소,155,경상남도 거창군 거창읍
6,경상남도,양산시,동면,소,8,경상남도 양산시 동면
7,경상남도,밀양시,청도면,소,97,경상남도 밀양시 청도면
8,제주특별자치도,제주시,구좌읍,소,84,제주특별자치도 제주시 구좌읍
9,충청남도,부여군,은산면,염소,14,충청남도 부여군 은산면
10,경상남도,거제시,거제면,닭,42,경상남도 거제시 거제면
11,경상남도,사천시,서포면,소,119,경상남도 사천시 서포면
12,경상남도,고성군,개천면,소,60,경상남도 고성군 개천면
13,충청남도,서산시,인지면,소,96,충청남도 서산시 인지면
14,충청남도,예산군,응봉면,소,75,충청남도 예산군 응봉면
15,전라북도,부안군,변산면,소,41,전라북도 부안군 변산면
16,경기도,파주시,적성면,소,103,경기도 파주시 적성면
17,경상북도,경주시,안강읍,염소,10,경상북도 경주시 안강읍
18,경상남도,합천군,초계면,닭,43,경상남도 합천군 초계면
19,전라북도,임실군,성수면,닭,32,전라북도 임실군 성수면
20,전라남도,순천시,외서면,닭,43,전라남도 순천시 외서면
21,경상남도,밀양시,단장면,소,70,경상남도 밀양시 단장면
22,경기도,양평군,단월면,소,67,경기도 양평군 단월면
23,전라북도,정읍시,옹동면,소,104,전라북도 정읍시 옹동면
24,경상북도,의성군,춘산면,소,10,경상북도 의성군 춘산면
25,경상북도,구미시,도개면,소,138,경상북도 구미시 도개면
26,경상북도,울진군,북면,닭,54,경상북도 울진군 북면
27,충청남도,홍성군,장곡면,염소,18,충청남도 홍성군 장곡면
28,충청남도,서산시,대산읍,닭,38,충청남도 서산시 대산읍
29,경상남도,남해군,창선면,닭,37,경상남도 남해군 창선면
30,경상북도,포항시 북구,송라면,닭,10,경상북도 포항시 북구 송라면
31,충청북도,음성군,생극면,토끼,1,충청북도 음성군 생극면
32,충청남도,부여군,석성면,닭,20,충청남도 부여군 석성면
33,전라북도,무주군,안성면,염소,21,전라북도 무주군 안성면
34,충청남도,부여군,부여읍,염소,5,충청남도 부여군 부여읍
35,충청북도,단양군,대강면,칠면조,1,충청북도 단양군 대강면
36,경기도,광주시,남종면,닭,4,경기도 광주시 남종면
37,세종특별자치시,,전동면,소,112,세종특별자치시 nan 전동면
38,전라남도,함평군,나산면,닭,48,전라남도 함평군 나산면
39,충청북도,영동군,황간면,꿀벌,7,충청북도 영동군 황간면
40,전라남도,광양시,진월면,거위,1,전라남도 광양시 진월면
41,전라남도,보성군,복내면,소,100,전라남도 보성군 복내면
42,전라북도,남원시,금지면,염소,12,전라북도 남원시 금지면
43,전라북도,정읍시,태인면,소,104,전라북도 정읍시 태인면
44,강원도,횡성군,청일면,소,91,강원도 횡성군 청일면
45,인천광역시,강화군,삼산면,소,6,인천광역시 강화군 삼산면
